year,mileage,tax,mpg,engineSize,price
2019,5000,145,39.8,1.5,26495
2019,5500,145,37.2,2,29695
2019,7500,145,47.9,2,29995
2015,34985,160,51.4,2,15488
2017,8965,30,70.6,1.4,17565
2016,38309,145,52.3,2,16490
2018,12285,145,50.4,3,34000
2017,26272,145,58.9,2,21800
2016,44119,30,64.2,2,15000
2015,25598,205,40.4,2,18800
2013,62023,0,74.3,1.6,6800
2016,36151,0,74.3,1.6,11100
2016,29137,145,53.3,3,21995
2019,9909,145,35.8,3,49995
2017,34800,20,67.3,2,14795
2017,36355,30,61.4,2,19995
2016,56875,30,57.6,1.4,9496
2015,20545,0,67.3,1,10120
2016,21421,145,49.6,1.4,17990
2015,28003,30,57.6,1.4,10260
2015,57816,125,57.6,2,14590
2017,15660,145,56.5,1.4,14990
2013,65589,205,47.9,2,12490
2019,17277,145,33.2,3,45995
2018,18199,145,51.4,1,16495
2018,12387,145,50.4,3,34495
2019,3772,145,33.2,2,26995
2019,5000,145,33.2,2,28495
2019,5000,145,44.1,1,23950
2017,16038,145,57.6,1.4,11990
2015,26000,30,64.2,2,17495
2016,22964,150,52.3,2,18295
2014,47050,125,53.3,1.4,8950
2016,27400,30,55.4,1.4,11760
2016,74000,20,68.9,2,10262
2017,16988,145,50.4,1.4,18401
2016,38066,20,70.6,2,15649
2017,46603,125,51.4,1.4,16310
2018,14439,150,55.4,1.4,14998
2014,55680,200,47.9,2,12498
2015,44422,200,45.6,3,20698
2017,15000,145,70.6,1.6,20450
2018,6350,150,55.4,1.5,17650
2017,7024,145,67.3,1,13495
2015,46784,145,52.3,2,15998
2017,26807,145,47.9,1.4,18298
2017,28522,30,61.4,2,18995
2017,25000,125,52.3,1.4,16950
2015,43000,30,56.5,1.4,10850
2014,55000,0,74.3,1.6,8695
2017,14567,145,47.1,1.8,19252
2014,84000,205,44.8,3,12691
2019,4199,145,49.6,1.6,20640
2016,26442,30,57.6,1.4,10970
2017,8773,0,67.3,1,12360
2013,76361,125,52.3,1.4,7791
2017,3491,145,49.6,1.4,21250
2014,83412,150,54.3,2,9950
2017,74501,0,74.3,1.6,10498
2017,15751,145,65.7,2,21991
2016,47079,160,50.4,2,17991
2015,55934,20,60.1,1.4,10750
2014,63998,160,50.4,2,12210
2015,56726,20,68.9,2,9350
2017,25773,145,43.5,2,21990
2017,59022,145,61.4,2,17920
2019,1500,145,36.2,3,43695
2019,50,145,43.5,1.5,23439
2017,17867,145,49.6,1.4,18995
2016,19795,30,58.9,1.4,14998
2016,21023,145,54.3,3,22498
2013,73956,160,49.6,2,10998
2014,78801,30,64.2,2,11498
2015,69647,30,64.2,2,9995
2017,16530,30,60.1,1.4,17391
2015,51607,30,55.4,1.4,12201
2017,15351,30,57.6,1.4,11995
2017,35375,145,68.9,1.6,17650
2019,23,145,40.4,2,25998
2017,11111,145,65.7,2,23498
2017,36703,30,62.8,2,16998
2014,66188,265,41.5,3,21498
2019,10439,145,41.5,1.5,23300
2016,48063,30,61.4,2,16600
2018,6000,150,47.1,1.8,21491
2019,1000,145,38.7,2,23995
2019,1500,145,32.1,2,37995
2019,50,145,30.1,2.5,47949
2020,50,145,38.2,2,36995
2020,2000,145,32.8,3,64995
2020,50,145,42.2,2,27995
2020,2000,145,34.5,3,48995
2017,25785,30,57.6,1.4,11502
2016,14179,30,58.9,1.4,13219
2013,73441,150,54.3,2,8995
2016,56767,20,67.3,2,14298
2017,15900,145,67.3,2,21465
2016,21660,30,61.4,2,18370
2017,17802,30,57.6,1.4,11320
2017,21601,30,56.5,1.4,16950
2014,32055,20,60.1,1.4,11290
2017,6522,145,47.1,1.8,17599
2014,38851,125,57.6,2,14995
2016,42214,125,53.3,1.4,12255
2016,24465,30,58.9,1.4,13995
2017,23496,145,54.3,1.4,17481
2019,5800,145,44.8,1,18999
2016,30352,30,58.9,1.4,13995
2016,29528,20,68.9,1.6,13490
2017,19924,0,76.3,1.6,11995
2015,22761,145,54.3,3,21298
2016,38124,30,61.4,2,19498
2017,18052,145,61.4,2,18200
2016,57819,0,72.4,2,12816
2015,57640,125,61.4,2,18181
2017,20516,145,62.8,2,20520
2016,27878,0,76.3,1.6,10191
2016,50610,30,61.4,2,16991
2016,17228,200,47.1,2,23992
2017,9684,145,36.7,3,27312
2017,23824,145,38.2,3,29152
2019,5105,145,33.2,2,30075
2019,11,145,40.9,2,22453
2018,5022,145,40.4,3,37902
2019,2167,145,47.9,2,27246
2017,20323,145,40.4,2,25312
2018,17936,145,40.4,2,31962
2016,21246,30,56.5,1.4,18192
2017,19171,145,55.4,1,16732
2018,13219,145,50.4,1.4,20242
2017,27155,150,60.1,1,13498
2016,26849,20,65.7,2,15998
2015,25549,30,58.9,1.4,12498
2014,21238,20,60.1,1.4,13498
2019,2343,145,39.2,2,31395
2019,3409,145,39.2,2,31266
2018,6546,145,60.1,2,24702
2019,5342,145,32.1,2,37400
2019,6447,145,32.1,2,33800
2019,2301,145,51.4,1.6,22420
2019,7154,145,52.3,1.6,21920
2019,6698,145,30.7,2,35866
2019,4294,145,38.2,2,33236
2019,2574,145,39.2,2,31366
2019,3390,145,38.2,2,33415
2020,3265,145,47.9,1,20990
2020,3390,145,50.4,2,31690
2016,20123,30,56.5,1.4,12798
2019,18668,150,40.9,2,17998
2017,14264,145,54.3,1.5,18998
2016,55659,30,58.9,2,17998
2016,20417,30,70.6,1.4,15498
2019,6514,150,38.2,2,30498
2017,9866,125,52.3,1.4,21652
2019,3161,145,38.2,1.5,28192
2019,8238,145,32.8,3,48206
2019,2200,145,37.7,3,44990
2019,7612,145,38.2,2,32732
2019,9160,145,49.6,1.6,20594
2016,51109,30,67.3,2,15472
2017,30417,30,62.8,2,18990
2018,17953,145,40.4,2,25572
2017,25143,145,67.3,2,18082
2017,20320,145,37.7,3,29582
2020,2574,145,40.9,1.5,26890
2020,3962,145,42.8,2,27690
2016,26041,30,56.5,1.4,15052
2017,44551,125,50.4,1.4,18242
2018,23249,145,32.1,2.9,52422
2016,44000,30,60.1,2,16890
2016,18270,235,39.8,2,19512
2019,6756,145,38.2,2,34026
2020,3895,145,38.2,2,36890
2019,7050,145,47.1,2,31880
2020,990,145,42.8,2,27690
2020,2410,145,38.7,3,45890
2017,7696,30,67.3,2,21952
2017,26500,145,54.3,1.4,18552
2017,42683,145,34,3,35422
2018,29933,145,40.4,2,23690
2019,12668,145,51.4,2,25510
2018,22393,145,37.2,4,63912
2020,3360,145,50.4,2,31690
2014,49268,235,38.7,2,15490
2015,39000,30,55.4,1.4,10552
2016,22164,160,46.3,2,17690
2016,41529,30,65.7,2,16498
2019,5664,145,35.8,2,29920
2020,582,145,33.2,3,56894
2019,11113,145,47.9,1.6,21294
2019,11464,145,33.6,3,51862
2016,33500,200,45.6,3,23912
2018,35742,145,76.4,1.6,11872
2019,2788,145,38.2,1.5,28676
2016,27041,200,47.1,2,23142
2020,4521,145,38.2,2,34890
2016,20160,160,50.4,2,20000
2018,15866,145,61.4,2,22995
2016,25244,20,60.1,1,13298
2016,25097,235,42.8,3,29172
2018,30930,150,54.3,1.5,19261
2016,14900,125,53.3,1.4,14242
2019,10386,145,32.8,3,43946
2017,54983,145,74.3,2,14788
2016,13282,30,56.5,1.4,14959
2017,19297,145,51.4,1.4,17259
2017,41000,145,54.3,3,23890
2019,2100,145,31.4,2,31490
2018,6000,145,53.3,2,22941
2015,28418,30,58.9,1.4,12762
2016,31224,205,47.9,3,31390
2019,3827,150,40.9,2,29562
2017,23052,150,76.3,1.6,14180
2015,69431,0,74.3,1.6,9442
2018,14893,145,50.4,1.4,17990
2017,8763,30,60.1,1.4,18698
2018,19227,145,37.2,4,61900
2018,11000,145,48.7,3,38750
2018,43525,145,50.4,2,18688
2015,34995,165,52.3,3,21488
2015,55201,0,80.7,1.6,10490
2015,26000,0,67.3,1,11995
2019,1666,145,47.9,2,27695
2019,15571,145,48.7,2,25636
2017,9011,145,47.9,3,37332
2019,9740,145,30.1,4,65290
2013,73032,150,55.4,2,11341
2017,24587,150,67.3,1,11990
2016,30394,0,67.3,1,9980
2017,25988,150,44.1,2,23890
2014,22800,30,55.4,1.4,13995
2016,29491,125,51.4,1.4,20995
2016,17344,30,56.5,1.4,14895
2015,39000,20,67.3,2,13995
2016,20193,30,55.4,1.4,12650
2015,53584,325,30.7,4,24991
2017,19992,145,65.7,2,19456
2015,55559,300,38.2,3,22782
2017,15440,30,55.4,2,18762
2017,19543,30,58.9,1.4,18690
2019,8564,145,34.9,2,28566
2019,11558,145,52.3,1.6,18160
2019,12140,145,47.9,1.6,18380
2019,20300,145,50.4,2,24720
2017,12199,145,67.3,2,18990
2015,31086,205,42.8,2,17490
2017,24015,30,58.9,1.4,12999
2016,37505,205,47.1,2,19990
2019,12844,145,48.7,2,31600
2019,3653,145,33.2,2,32890
2020,1354,145,39.2,3,48490
2020,3532,145,51.4,2,27890
2019,4757,145,47.9,2,25490
2019,7396,145,47.1,2,26980
2017,10894,145,52.3,1.4,20479
2018,18782,145,32.8,3,56990
2015,57800,145,54.3,2,14490
2017,14960,145,57.6,1.4,11490
2018,7479,145,36.7,3,29990
2019,8752,145,39.2,1.5,22490
2019,13502,150,47.1,2,31990
2018,17929,145,70.6,2,20391
2017,13840,145,67.3,1,12260
2014,62871,20,60.1,1.4,9720
2017,9997,145,47.9,1.4,20998
2016,31516,145,55.4,2,16798
2016,29777,145,47.9,1.4,17798
2017,10000,145,58.9,2,20495
2017,12000,145,58.9,1.4,19995
2018,23500,145,34,3,37995
2015,20346,30,57.6,1.4,15498
2017,9347,145,47.9,1.4,18998
2019,9000,150,29.1,2.9,55495
2016,15716,30,57.6,1.4,11107
2013,80931,30,64.2,2,9691
2015,26200,20,68.9,2,11211
2016,19749,30,55.4,1.4,13699
2015,43979,200,47.1,2,18998
2016,40809,125,61.4,3,19698
2019,5790,145,41.5,2,18998
2017,32500,30,61.4,2,15995
2017,33600,145,61.4,2,17649
2018,15091,145,52.3,1.4,18500
2018,16600,145,38.7,3,31500
2019,1980,145,32.8,3,48500
2019,5500,145,50.4,2,28750
2019,18200,145,32.8,3,46500
2016,16021,160,50.4,2,19298
2017,12891,145,49.6,1.4,19998
2016,10146,145,52.3,2,19298
2013,81012,20,68.9,2,7598
2016,29203,30,58.9,1.4,14298
2016,19687,30,70.6,1.4,14998
2017,30000,145,50.4,2,14980
2016,7433,200,40.4,2,18120
2016,43151,20,64.2,2,15998
2016,21132,0,72.4,2,17495
2015,20258,0,83.1,1.6,12495
2015,39854,0,80.7,1.6,11995
2015,25959,20,70.6,1.6,11995
2015,30224,125,60.1,2,17495
2016,19912,145,51.4,1.4,15995
2019,6936,145,39.2,2,23350
2016,17157,125,48.7,2,19771
2019,4278,145,33.6,3,50786
2013,49447,125,53.3,1.4,8999
2016,25277,30,55.4,1.4,11510
2016,37848,30,61.4,2,18900
2017,11784,145,74.3,2,18295
2015,49487,125,57.6,2,15995
2014,25854,30,57.6,1.2,9690
2019,6806,145,34.9,2,30796
2019,14,145,70.6,2,25016
2019,2416,145,38.7,2,24436
2019,16161,145,52.3,1.6,22230
2016,26301,20,70.6,2,16792
2019,9256,145,46.3,1.6,23991
2019,6000,145,33.2,3,44212
2015,50811,20,67.3,2,11995
2016,31959,160,50.4,2,19495
2013,56000,300,38.2,3,17650
2013,70000,145,54.3,2,9649
2016,12683,125,51.4,1.4,17940
2016,28197,30,61.4,2,16997
2017,11340,145,50.4,1.4,20620
2015,57192,145,55.4,3,14500
2017,6287,150,55.4,1,15991
2015,55200,20,68.9,2,12230
2016,28555,20,70.6,2,14899
2019,4150,150,47.9,1,19471
2018,22604,145,56.5,1.5,20971
2017,22791,145,52.3,1.4,20671
2018,11532,145,56.5,1.5,17971
2018,18696,145,50.4,1.4,18995
2016,55000,30,64.2,2,13450
2015,25500,20,68.9,2,9750
2015,56000,205,47.1,2,17250
2013,68000,0,74.3,1.6,8995
2016,28000,125,58.9,2,17250
2017,20482,30,62.8,2,16671
2017,36391,145,50.4,1.4,18481
2018,6173,145,40.4,3,39881
2019,5713,145,44.8,1.6,26132
2019,3356,145,44.8,1.6,26302
2015,34188,30,55.4,1.4,12881
2016,30294,125,60.1,3,22990
2016,36157,20,72.4,2,15290
2016,44601,200,40.9,2,21490
2016,26832,235,42.8,3,28881
2017,18926,200,47.9,2,22971
2019,4352,145,51.4,1.6,22382
2016,24831,30,61.4,2,20192
2019,9089,145,33.6,3,51991
2016,33112,30,60.1,2,15991
2016,66506,235,43.5,3,22990
2015,20828,30,57.6,1.4,10590
2017,27379,200,45.6,3,26490
2014,43888,235,44.1,3,18962
2016,17868,30,58.9,1.4,15990
2015,69130,0,74.3,2,11120
2016,22499,160,43.5,2,23482
2016,11540,30,61.4,2,20481
2018,19677,145,51.4,1.4,18992
2017,25593,145,67.3,2,19632
2017,15268,125,52.3,1.4,17132
2016,44929,200,47.1,2,21571
2019,14915,145,32.8,3,47816
2017,11070,145,67.3,2,21481
2017,38810,30,67.3,2,17012
2018,15475,145,50.4,2,23132
2017,10504,145,40.4,2,26062
2016,35706,125,49.6,2,16862
2018,31846,150,56.5,1.4,15749
2019,6734,150,40.4,2,21989
2016,21699,30,61.4,2,19280
2016,14779,145,49.6,1.4,18202
2018,18865,145,47.9,1.4,23252
2016,19411,160,43.5,2,21241
2017,12272,145,56.5,1.4,19310
2016,51124,0,72.4,2,13110
2017,28691,145,67.3,1,11000
2017,28828,145,64.2,2,18995
2019,15425,145,42.2,1.5,23995
2016,18679,30,57.6,1.4,10870
2014,40276,30,62.8,2,12470
2017,21634,145,55.4,2,24000
2019,2117,145,40.4,3,41606
2019,9026,145,40.4,2,24260
2017,27079,30,55.4,1.4,13982
2020,2640,145,37.7,2,28990
2017,44180,30,58.9,1.4,16991
2019,5209,145,42.8,1.5,22276
2019,8909,145,44.8,2,33560
2019,5004,145,34,2,37800
2019,3866,145,39.2,3,32326
2020,3092,145,50.4,2,31760
2019,12186,145,48.7,2,25946
2017,46096,145,67.3,1,11771
2020,1703,145,51.4,2,29490
2020,2240,145,38.2,2,38990
2020,1884,145,50.4,2,32990
2020,883,145,44.1,1,24990
2020,4250,145,40.4,3,43990
2019,10065,145,47.1,1,21656
2019,3145,145,39.8,2,25490
2019,3653,145,49.6,1.6,21355
2019,3774,145,40.9,2,22365
2015,20385,125,56.5,2,15432
2016,52226,20,60.1,1.4,12771
2018,29683,150,36.7,3,28471
2013,75900,125,58.9,2,9995
2014,55800,125,58.9,2,14810
2014,24055,20,68.9,2,10582
2016,44077,125,52.3,1.4,13252
2016,22000,30,62.8,2,16000
2015,20518,0,80.7,1.6,11800
2019,9316,145,38.2,2,26184
2019,7188,145,38.2,2,27640
2019,5956,145,39.8,3,44300
2019,6009,145,40.9,2,22165
2016,52405,160,53.3,2,17322
2016,24490,200,47.9,2,20771
2019,3125,145,40.9,1.5,26676
2015,44230,160,52.3,3,20981
2016,25556,30,57.6,1.4,16492
2019,4383,145,47.1,1,19926
2019,6389,145,42.8,2,28770
2019,6146,145,38.2,2,28160
2015,12123,160,44.8,2,16406
2019,5150,145,38.2,2,34376
2019,2536,145,40.9,2,22476
2019,4891,145,51.4,2,24695
2019,5891,145,39.2,2,32195
2019,5496,145,46.3,1.6,24526
2015,19516,30,58.9,1.4,13942
2016,49237,145,47.9,1.4,16962
2016,29273,0,72.4,2,15082
2016,38272,30,64.2,2,16402
2013,65140,20,67.3,2,8971
2017,18892,150,46.3,2,18781
2017,24260,150,43.5,2,23671
2017,15888,150,52.3,1.4,18771
2016,61411,205,47.9,3,28371
2019,9771,145,29.7,2.9,54883
2019,8765,145,37.7,2,28610
2019,4009,145,29.7,2.9,55292
2017,13606,145,61.4,3,22146
2018,20280,145,67.3,1,14481
2019,2869,145,46.3,1.6,24164
2019,7825,145,34.9,2,29256
2019,5456,145,38.2,2,32956
2015,46085,235,42.2,3,26276
2019,10521,145,33.6,3,48642
2019,8422,145,33.2,3,43475
2016,19135,30,55.4,1.4,12672
2020,1276,145,52.3,1.6,22777
2019,6995,145,44.1,2,36610
2017,17503,145,51.4,1.4,18772
2014,38322,145,47.9,1.4,15322
2020,3925,145,44.1,1.5,30777
2016,22478,30,67.3,2,17702
2016,33481,200,47.9,3,31652
2018,24891,145,34.5,2.5,39076
2016,14931,20,70.6,1.6,13862
2016,23448,30,58.9,1.4,13432
2019,5263,150,48.7,2,27162
2014,40000,125,53.3,1.4,8999
2016,29782,30,58.9,1.4,14671
2017,21876,150,55.4,2,28062
2017,30194,145,55.4,2,19998
2017,16000,200,40.4,2,22495
2013,52134,200,47.9,2,12495
2017,35964,145,49.6,1.4,17500
2019,2550,145,54.3,1.6,19196
2019,15803,145,35.8,2,28620
2019,3184,145,42.8,1.5,20956
2019,3662,145,37.2,1.5,34256
2015,38017,165,49.6,2,15990
2014,55364,30,62.8,2,11941
2016,51756,205,47.1,2,18690
2018,10340,150,55.4,1.4,16295
2013,76026,30,60.1,2,10310
2015,21438,125,52.3,1.4,10598
2016,21155,125,58.9,2,20498
2016,60569,200,47.9,3,27057
2015,35395,300,34.9,2.5,29250
2017,40054,145,44.1,2,22490
2013,48627,260,36.7,2,14550
2014,32709,145,47.9,1.4,10991
2016,59302,30,57.6,1.4,10510
2016,18365,30,56.5,1.4,14470
2019,5003,150,38.7,2,26490
2017,37556,145,40.4,2,18937
2017,28411,30,62.8,2,16430
2018,20313,145,47.1,1,16990
2016,24673,20,72.4,2,15270
2016,23416,0,67.3,1,11120
2017,34700,150,58.9,1.4,14391
2018,23657,145,40.4,2,29691
2016,40484,145,53.3,3,21895
2015,34899,200,47.9,3,19100
2016,17679,0,76.3,1.6,10990
2019,3221,145,47.1,1,20726
2019,3628,145,48.7,2,26876
2017,23838,30,56.5,1.4,13852
2017,35712,145,53.3,2,18000
2018,13166,145,52.3,1.4,17782
2016,22049,235,42.8,3,26796
2014,38240,145,54.3,2,13549
2016,81386,145,52.3,2,13680
2014,95001,260,41.5,3,18420
2017,15712,20,64.2,1,13491
2018,60892,145,56.5,1.5,16991
2016,59691,30,67.3,2,13070
2013,82591,30,61.4,2,9960
2017,42753,20,62.8,1,11991
2016,24563,30,61.4,2,16670
2017,34153,160,44.1,2,23836
2014,61140,200,47.9,3,14086
2015,17078,160,52.3,3,21836
2018,5538,145,50.4,3,35866
2019,6033,150,46.3,1.6,22302
2014,69798,200,47.1,2,15490
2019,3795,145,52.3,1.6,22383
2019,4389,145,40.9,1.5,26073
2019,3795,145,33.2,2,32243
2016,30000,240,39.8,2,8695
2019,6063,145,32.8,3,46426
2017,15336,145,51.4,2,25082
2016,16594,300,34.9,2.5,31072
2019,5364,145,38.2,1.5,28396
2017,18574,145,51.4,1.4,18182
2016,47538,200,47.9,3,31072
2019,3130,145,48.7,2,31210
2017,39836,145,72.4,1.6,13532
2019,3017,145,46.3,1.6,24440
2014,43700,300,38.2,3,25042
2015,23530,200,47.1,2,20176
2017,6931,145,65.7,2,19082
2016,33931,145,55.4,3,20992
2019,2801,145,47.1,1,20766
2017,49281,150,54.3,3,22895
2014,66883,30,57.6,1.4,10595
2015,42940,200,47.9,2,17595
2017,12751,145,39.2,4,51595
2019,6223,145,38.7,2,24798
2019,22,145,47.9,2,23998
2014,76101,30,64.2,2,9980
2016,48175,145,47.9,1.4,16637
2015,28294,0,188.3,1.4,14981
2020,4002,145,38.2,2,37981
2020,3662,145,52.3,1.6,20481
2016,24717,20,68.9,1.6,16582
2016,21002,160,49.6,2,17584
2016,24154,30,57.6,1.4,11602
2016,74924,30,67.3,2,10500
2017,14700,30,55.4,2,16499
2015,54566,0,80.7,1.6,9000
2019,3951,145,42.8,1.5,22976
2017,26479,125,50.4,1.4,16362
2018,18280,145,51.4,1.4,18981
2019,2401,145,48.7,2,27236
2019,8990,145,32.8,3,47916
2016,30522,30,56.5,1.4,17481
2019,7188,145,51.4,1.6,21374
2019,1490,145,49.6,1.6,21726
2019,5872,145,33.2,2,27870
2019,5260,145,36.2,3,45912
2019,11113,145,32.1,2,33630
2019,10210,145,33.2,3,43244
2019,6328,145,48.7,2,26925
2019,10472,145,44.1,1,21226
2018,10980,145,54.3,1.5,20442
2017,21849,145,49.6,1.4,18000
2017,16949,145,49.6,1.4,18500
2016,21809,0,67.3,1,10691
2015,20411,0,74.3,1.6,12995
2016,22789,30,58.9,1.4,14995
2016,42611,20,67.3,2,16495
2017,7198,150,64.2,1,14495
2017,18331,145,40.4,2,30981
2017,17506,145,40.4,2,31252
2019,6810,145,40.4,2,24590
2017,19416,145,47.9,1.4,19242
2017,36000,30,61.4,2,20481
2020,1276,145,44.8,1.5,23481
2017,19533,145,56.5,2,24997
2016,34539,0,76.3,1.6,11950
2014,79965,30,64.2,2,13541
2020,22601,145,39.2,2,32481
2013,18894,30,55.4,1.2,9481
2016,31479,30,57.6,1.4,11392
2017,28200,0,76.3,1.6,12100
2014,12318,200,47.1,2,21572
2019,9643,145,40.4,3,40970
2019,3358,145,55.4,2,21981
2018,29782,145,52.3,1.4,21332
2016,41088,200,42.8,2,19412
2017,14562,145,52.3,3,26102
2017,43521,30,57.6,1.4,10972
2020,2661,145,54.3,1.6,20481
2020,2998,145,47.1,2,32981
2017,15920,145,47.9,1.4,20972
2017,13750,145,47.9,1.4,21481
2016,36552,0,67.3,1,11232
2018,31362,145,37.2,4,64842
2016,11881,30,56.5,1.4,20112
2014,49688,300,33.6,3,20452
2019,9432,145,33.6,3,53981
2017,29491,145,55.4,1.4,13295
2019,11785,150,40.9,1.5,21892
2020,3116,150,38.2,2,37682
2018,19227,145,43.5,2,28452
2016,44658,125,52.3,1.4,14032
2019,8656,145,34.9,2,32182
2019,5426,145,49.6,1.6,21162
2015,33920,205,40.9,2,17950
2017,45324,30,60.1,1.4,15395
2020,10,145,43.5,1.5,23500
2019,12513,145,39.8,2,26156
2019,9589,145,32.1,2,31516
2019,4508,145,47.9,2,31156
2019,10221,145,38.2,2,25986
2019,2364,145,37.2,2,30576
2019,4566,145,32.8,3,46456
2017,58021,145,53.3,2,19712
2019,11252,145,51.4,1.6,22262
2019,4722,145,49.6,1.6,21392
2019,3571,145,47.9,1.6,21902
2018,60130,145,62.8,2,22318
2015,48093,20,72.4,1.6,11322
2018,19444,145,34,3,40892
2015,30042,0,80.7,1.6,10330
2016,40895,200,48.7,2,17497
2017,19210,125,50.4,1.4,18495
2015,42971,160,49.6,2,15250
2016,21102,30,58.9,1.4,18000
2017,36667,150,56.5,2,18000
2016,33435,30,70.6,1.4,15000
2014,72562,260,41.5,3,18990
2019,8534,145,40.9,2,21686
2016,29627,30,55.4,1.4,12977
2016,42011,0,76.3,1.6,9995
2017,25679,30,55.4,1.4,12000
2015,46901,20,70.6,1.6,9999
2016,24285,20,70.6,2,12699
2013,53364,125,58.9,2,11999
2015,49600,160,49.6,2,12799
2017,47228,150,56.5,2,23500
2017,43990,20,60.1,1,14000
2018,9153,145,45.6,1.4,24000
2015,28771,30,55.4,1.4,12000
2016,21410,145,51.4,2,19000
2016,35076,0,76.3,1.6,9995
2017,33000,150,61.4,2,20875
2014,18258,20,60.1,1.4,13950
2013,65542,145,54.3,2,10950
2017,8956,150,60.1,1,14517
2016,36843,0,76.3,1.6,10020
2013,67636,260,42.2,3,15290
2017,11627,30,53.3,2,18998
2017,40008,125,60.1,2,16998
2016,18432,30,60.1,1.4,17498
2015,82725,145,54.3,3,18498
2017,17233,30,55.4,1.4,12495
2017,19210,125,50.4,1.4,18495
2015,52200,30,57.6,1.4,9397
2018,27150,145,52.3,1.4,18499
2016,43309,0,72.4,2,15499
2018,24090,145,34,2.5,34491
2019,19,150,46.3,2,26998
2017,16434,145,70.6,1.4,15698
2019,22,145,40.4,2,27298
2017,32895,125,51.4,1.4,16505
2018,5208,145,67.3,1.6,18505
2019,6623,145,38.7,2,23755
2017,21668,145,70.6,2,19299
2013,43376,200,47.9,2,13499
2015,33769,30,55.4,1.4,13499
2017,22491,145,43.5,2,22711
2018,16861,145,47.9,3,39999
2017,39000,145,74.3,2,16499
2017,28814,145,74.3,2,17499
2018,20136,150,64.2,2,19995
2016,32272,200,40.4,2,21483
2015,34190,0,80.7,1.6,10495
2016,27500,20,70.6,2,17295
2017,37151,145,51.4,1.4,15998
2016,49450,200,47.1,2,18450
2017,35790,30,67.3,2,17190
2016,44603,0,72.4,2,14998
2018,10249,145,50.4,3,33998
2019,2117,145,50.4,1,19998
2016,38935,20,60.1,1.4,13500
2016,24918,0,67.3,1,11995
2018,10827,145,56.5,1.5,21498
2018,21237,150,70.6,2,24698
2019,6550,145,52.3,1.6,22005
2016,31975,160,50.4,2,18505
2017,18135,145,51.4,1.4,18505
2017,42594,30,64.2,1.6,15255
2018,10429,145,49.6,1.4,21755
2016,19038,0,67.3,1,12505
2018,23765,145,50.4,1.4,17505
2019,1980,145,48.7,2,27001
2017,10683,145,50.4,1.4,20505
2013,44374,0,74.3,1.6,9755
2017,23188,145,53.3,2,23252
2016,37709,200,40.4,2,23232
2017,28498,145,48.7,2,21602
2016,53339,30,61.4,2,17862
2016,18759,160,46.3,2,18272
2013,57062,125,57.6,2,10962
2016,19360,0,76.3,1.6,10790
2017,36008,150,67.3,2,16745
2017,39992,145,54.3,1.5,15982
2016,19681,145,55.4,2,18991
2017,11836,20,60.1,1,13999
2019,7650,145,47.1,1,19750
2016,33000,165,46.3,1.8,16495
2019,5051,145,51.4,2,24662
2019,7728,145,45.6,2,34922
2017,7541,0,67.3,1,12372
2019,4300,145,47.1,2,29532
2017,26111,30,60.1,1.4,17255
2018,17640,145,40.9,2,27005
2018,5485,145,58.9,2,21755
2019,6793,145,37.2,1.5,35505
2017,31605,145,57.6,2,19655
2018,26211,145,39.2,2,19755
2016,21540,30,57.6,1.4,16755
2019,17467,145,41.5,1.5,22005
2016,48782,20,68.9,1.6,13005
2018,9707,145,51.4,1.4,20001
2019,4379,145,47.9,1,19752
2017,3827,145,40.4,2,25755
2017,11000,150,55.4,2,17755
2013,80248,125,58.9,2,9730
2014,64458,30,64.2,2,10100
2015,73946,20,68.9,2,10999
2020,1000,150,38.2,2,39000
2020,5000,150,32.5,3,62000
2020,2000,150,51.4,2,31000
2019,2933,145,49.6,1.6,21032
2019,1782,150,49.6,1.6,21032
2019,4962,150,51.4,1.6,22792
2019,8050,150,40.9,1.5,26022
2020,1200,150,38.2,3,38990
2016,50000,0,67.3,1,9912
2019,100,145,47.9,2,32750
2019,4500,145,39.2,2,28250
2019,5007,145,48.7,2,30500
2019,3378,145,39.2,2,29300
2020,3000,150,39.2,2,32000
2020,2000,145,38.2,2,42500
2019,1500,145,49.6,1.6,23900
2019,100,145,52.3,1.6,24000
2019,1500,145,52.3,1.6,22650
2019,5780,145,49.6,1.6,20750
2016,22406,145,52.3,2,18502
2019,6600,145,32.8,3,48255
2016,26476,30,65.7,2,15255
2019,3000,145,33.6,3,58500
2019,100,145,51.4,2,29000
2019,100,145,39.2,2,35500
2018,11617,145,68.9,2,25000
2018,11500,145,68.9,2,25500
2019,4500,145,42.8,2,31750
2019,3500,145,50.4,2,28000
2019,1000,145,32.8,3,57000
2019,2000,145,50.4,2,31000
2019,10661,150,46.3,1.5,20000
2019,100,145,49.6,2,30500
2019,4563,145,49.6,1.6,24750
2017,18778,145,70.6,1.6,19505
2019,5727,145,49.6,1.6,21005
2019,3233,145,39.2,1.5,25005
2017,33761,145,40.4,2,27505
2019,6257,145,33.2,2,30755
2017,40677,20,67.3,2,14505
2018,12200,145,33.2,3,40755
2019,7392,145,39.2,1.5,27900
2019,100,145,40.4,2,29500
2019,5999,145,38.2,2,34255
2019,4500,145,50.4,2,31000
2019,4665,145,49.6,2,29000
2018,1000,145,50.4,2,30650
2018,1000,145,64.2,2,27500
2019,7800,145,49.6,1.6,23750
2019,100,145,53.3,1.4,25000
